Year,state,avg_yrly_employment
2015,Alabama,1970.925
2015,Arizona,2635.3166666666666
2015,Arkansas,1213.6
2015,California,16048.95
2015,Colorado,2541.1666666666665
2015,Conneticut,1686.7833333333333
2015,Delaware,446.89166666666665
2015,District of Columbia,763.7416666666667
2015,Florida,8114.508333333333
2015,Georgia,4262.708333333333
2015,Idaho,671.55
2015,Illinois,5965.483333333334
2015,Indiana,3034.2916666666665
2015,Iowa,1561.3416666666667
2015,Kansas,1400.65
2015,Kentucky,1885.725
2015,Louisiana,1996.475
2015,Maine,610.65
2015,Maryland,2680.7833333333333
2015,Massachussets,3500.258333333333
2015,Michigan,4248.616666666667
2015,Minnesota,2859.258333333333
2015,Mississippi,1133.4666666666667
2015,Missouri,2811.4666666666667
2015,Montana,462.1166666666667
2015,Nebraska,1006.4666666666667
2015,Nevada,1258.6833333333334
2015,New Hampshire,653.8583333333333
2015,New Jersey,4008.6416666666664
2015,New Mexico,824.4166666666666
2015,New York,9289.858333333334
2015,North Carolina,4249.833333333333
2015,North Dakota,454.44166666666666
2015,Ohio,5423.241666666667
2015,Ohklahoma,1667.6833333333334
2015,Oregon,1788.6333333333332
2015,Pennsylvania,5834.516666666666
2015,Rhode Island,489.6
2015,South Carolina,2009.1916666666666
2015,South Dakota,428.26666666666665
2015,Tennessee,2902.0416666666665
2015,Texas,11868.191666666666
2015,Utah,1377.7416666666666
2015,Vermont,312.35833333333335
2015,Virginia,3859.4166666666665
2015,Washington,3144.1833333333334
2015,West Virginia,720.8166666666666
2015,Wisconsin,2894.6083333333336
2016,Alabama,1996.9166666666667
2016,Arizona,2708.7083333333335
2016,Arkansas,1233.4166666666667
2016,California,16478.6
2016,Colorado,2601.508333333333
2016,Conneticut,1692.4833333333333
2016,Delaware,451.45
2016,District of Columbia,777.0583333333334
2016,Florida,8392.85
2016,Georgia,4375.3
2016,Idaho,694.225
2016,Illinois,6013.041666666667
2016,Indiana,3074.075
2016,Iowa,1570.8333333333333
2016,Kansas,1404.6916666666666
2016,Kentucky,1908.475
2016,Louisiana,1975.6166666666668
2016,Maine,617.9333333333334
2016,Maryland,2715.975
2016,Massachussets,3567.883333333333
2016,Michigan,4326.725
2016,Minnesota,2898.625
2016,Mississippi,1146.575
2016,Missouri,2853.2833333333333
2016,Montana,468.075
2016,Nebraska,1015.0833333333334
2016,Nevada,1298.45
2016,New Hampshire,665.8333333333334
2016,New Jersey,4069.483333333333
2016,New Mexico,825.3916666666667
2016,New York,9434.358333333334
2016,North Carolina,4351.133333333333
2016,North Dakota,435.39166666666665
2016,Ohio,5481.958333333333
2016,Ohklahoma,1653.025
2016,Oregon,1844.025
2016,Pennsylvania,5882.6
2016,Rhode Island,494.2083333333333
2016,South Carolina,2058.133333333333
2016,South Dakota,432.09166666666664
2016,Tennessee,2974.7166666666667
2016,Texas,12017.225
2016,Utah,1425.9666666666667
2016,Vermont,313.3
2016,Virginia,3915.5833333333335
2016,Washington,3240.9333333333334
2016,West Virginia,711.575
2016,Wisconsin,2931.5166666666664
2017,Alabama,2018.6166666666666
2017,Arizona,2777.4166666666665
2017,Arkansas,1249.6083333333333
2017,California,16826.875
2017,Colorado,2659.9666666666667
2017,Conneticut,1696.1916666666666
2017,Delaware,455.125
2017,District of Columbia,784.3833333333333
2017,Florida,8578.591666666667
2017,Georgia,4459.875
2017,Idaho,714.8666666666667
2017,Illinois,6056.175
2017,Indiana,3107.525
2017,Iowa,1572.8416666666667
2017,Kansas,1404.025
2017,Kentucky,1920.075
2017,Louisiana,1975.55
2017,Maine,623.4833333333333
2017,Maryland,2745.7916666666665
2017,Massachussets,3615.6
2017,Michigan,4377.308333333333
2017,Minnesota,2938.5583333333334
2017,Mississippi,1151.4583333333333
2017,Missouri,2879.4416666666666
2017,Montana,472.8833333333333
2017,Nebraska,1018.9
2017,Nevada,1339.9583333333333
2017,New Hampshire,672.9833333333333
2017,New Jersey,4124.783333333334
2017,New Mexico,828.875
2017,New York,9561.891666666666
2017,North Carolina,4425.141666666666
2017,North Dakota,432.825
2017,Ohio,5526.658333333334
2017,Ohklahoma,1662.7
2017,Oregon,1886.6333333333332
2017,Pennsylvania,5942.141666666666
2017,Rhode Island,498.0333333333333
2017,South Carolina,2099.25
2017,South Dakota,434.0083333333333
2017,Tennessee,3023.075
2017,Texas,12232.741666666667
2017,Utah,1468.0916666666667
2017,Vermont,315.1583333333333
2017,Virginia,3959.6416666666664
2017,Washington,3320.45
2017,West Virginia,710.0916666666667
2017,Wisconsin,2954.475
2018,Alabama,2046.05
2018,Arizona,2857.925
2018,Arkansas,1267.425
2018,California,17172.091666666667
2018,Colorado,2727.266666666667
2018,Conneticut,1699.1083333333333
2018,Delaware,460.35
2018,District of Columbia,792.8583333333333
2018,Florida,8790.208333333334
2018,Georgia,4545.716666666666
2018,Idaho,738.6166666666667
2018,Illinois,6102.266666666666
2018,Indiana,3139.241666666667
2018,Iowa,1583.5333333333333
2018,Kansas,1415.9583333333333
2018,Kentucky,1930.4416666666666
2018,Louisiana,1990.8916666666667
2018,Maine,629.825
2018,Maryland,2770.741666666667
2018,Massachussets,3656.0666666666666
2018,Michigan,4426.5
2018,Minnesota,2964
2018,Mississippi,1153.825
2018,Missouri,2892.9416666666666
2018,Montana,478.73333333333335
2018,Nebraska,1024
2018,Nevada,1383.625
2018,New Hampshire,678
2018,New Jersey,4162.316666666667
2018,New Mexico,840.9916666666667
2018,New York,9685.3
2018,North Carolina,4509.825
2018,North Dakota,436.5083333333333
2018,Ohio,5562.775
2018,Ohklahoma,1689.5916666666667
2018,Oregon,1923.15
2018,Pennsylvania,6011.066666666667
2018,Rhode Island,501.14166666666665
2018,South Carolina,2157.7833333333333
2018,South Dakota,437.69166666666666
2018,Tennessee,3074.0833333333335
2018,Texas,12523.4
2018,Utah,1515.8166666666666
2018,Vermont,316.0416666666667
2018,Virginia,4012.491666666667
2018,Washington,3400.9166666666665
2018,West Virginia,720.05
2018,Wisconsin,2983.325
2019,Alabama,2077.55
2019,Arizona,2942.6666666666665
2019,Arkansas,1282.2333333333333
2019,California,17431.766666666666
2019,Colorado,2789.866666666667
2019,Conneticut,1696.0333333333333
2019,Delaware,465.475
2019,District of Columbia,797.3333333333334
2019,Florida,8972.425
2019,Georgia,4632.275
2019,Idaho,760.175
2019,Illinois,6125.425
2019,Indiana,3160.1083333333336
2019,Iowa,1587.2083333333333
2019,Kansas,1423.8333333333333
2019,Kentucky,1945.0833333333333
2019,Louisiana,1993.8666666666668
2019,Maine,636.1083333333333
2019,Maryland,2789.9666666666667
2019,Massachussets,3711.0333333333333
2019,Michigan,4443.975
2019,Minnesota,2983.575
2019,Mississippi,1157.925
2019,Missouri,2915.0833333333335
2019,Montana,484.51666666666665
2019,Nebraska,1026.8833333333332
2019,Nevada,1421.5416666666667
2019,New Hampshire,684.3083333333333
2019,New Jersey,4199.875
2019,New Mexico,855.1333333333333
2019,New York,9789.366666666667
2019,North Carolina,4597.683333333333
2019,North Dakota,440.96666666666664
2019,Ohio,5595.291666666667
2019,Ohklahoma,1705.45
2019,Oregon,1954.525
2019,Pennsylvania,6066.541666666667
2019,Rhode Island,504.625
2019,South Carolina,2192.5333333333333
2019,South Dakota,440.44166666666666
2019,Tennessee,3128.6666666666665
2019,Texas,12814.65
2019,Utah,1557.45
2019,Vermont,316.35833333333335
2019,Virginia,4059.1
2019,Washington,3467.8166666666666
2019,West Virginia,715.8083333333334
2019,Wisconsin,2991.2333333333336
2020,Alabama,1994.15
2020,Arizona,2853.4416666666666
2020,Arkansas,1247.3916666666667
2020,California,16182.666666666668
2020,Colorado,2652.633333333333
2020,Conneticut,1570.5416666666667
2020,Delaware,439.675
2020,District of Columbia,743.2583333333333
2020,Florida,8533.9
2020,Georgia,4423.9
2020,Idaho,754.4
2020,Illinois,5697.016666666666
2020,Indiana,2993.425
2020,Iowa,1508.3166666666666
2020,Kansas,1358.6916666666666
2020,Kentucky,1837.9166666666667
2020,Louisiana,1843.1666666666667
2020,Maine,597.675
2020,Maryland,2599.4583333333335
2020,Massachussets,3400.891666666667
2020,Michigan,4038.275
2020,Minnesota,2785.4666666666667
2020,Mississippi,1109.2166666666667
2020,Missouri,2775.6666666666665
2020,Montana,470.18333333333334
2020,Nebraska,988.2166666666667
2020,Nevada,1281.625
2020,New Hampshire,639.3833333333333
2020,New Jersey,3858.9833333333336
2020,New Mexico,799.5833333333334
2020,New York,8812.483333333334
2020,North Carolina,4421.875
2020,North Dakota,412.55
2020,Ohio,5262.875
2020,Ohklahoma,1627.3083333333334
2020,Oregon,1830.5583333333334
2020,Pennsylvania,5604.883333333333
2020,Rhode Island,461.975
2020,South Carolina,2084.8916666666664
2020,South Dakota,426.14166666666665
2020,Tennessee,3010.475
2020,Texas,12272.716666666667
2020,Utah,1535.1333333333332
2020,Vermont,287.01666666666665
2020,Virginia,3858.1583333333333
2020,Washington,3281.775
2020,West Virginia,668.4666666666667
2020,Wisconsin,2827.35
2021,Alabama,2049.133333333333
2021,Arizona,2969.7333333333336
2021,Arkansas,1282.25
2021,California,16747.466666666667
2021,Colorado,2751.025
2021,Conneticut,1616.7583333333334
2021,Delaware,451.625
2021,District of Columbia,735.9666666666667
2021,Florida,8928.2
2021,Georgia,4597.841666666667
2021,Idaho,796.7916666666666
2021,Illinois,5810.833333333333
2021,Indiana,3084.4583333333335
2021,Iowa,1539.1
2021,Kansas,1379.95
2021,Kentucky,1902.925
2021,Louisiana,1878.525
2021,Maine,622.0583333333333
2021,Maryland,2666.4666666666667
2021,Massachussets,3531.733333333333
2021,Michigan,4197.4
2021,Minnesota,2854.7833333333333
2021,Mississippi,1137.85
2021,Missouri,2843.5
2021,Montana,492.1166666666667
2021,Nebraska,1007.2333333333333
2021,Nevada,1374.675
2021,New Hampshire,662.9083333333333
2021,New Jersey,4039.108333333333
2021,New Mexico,814.8583333333333
2021,New York,9062.158333333333
2021,North Carolina,4612.241666666667
2021,North Dakota,417.125
2021,Ohio,5387.783333333334
2021,Ohklahoma,1649.9499999999998
2021,Oregon,1875.85
2021,Pennsylvania,5760.541666666666
2021,Rhode Island,480.175
2021,South Carolina,2157.741666666667
2021,South Dakota,440.475
2021,Tennessee,3110.641666666667
2021,Texas,12727.108333333334
2021,Utah,1613.2666666666667
2021,Vermont,294.7916666666667
2021,Virginia,3950.7166666666667
2021,Washington,3369.6583333333333
2021,West Virginia,681.5166666666667
2021,Wisconsin,2896.991666666667
2022,Alabama,2111.0166666666664
2022,Arizona,3111.4666666666667
2022,Arkansas,1327.8166666666666
2022,California,17668.266666666666
2022,Colorado,2869.9
2022,Conneticut,1668.4416666666666
2022,Delaware,470.125
2022,District of Columbia,759.1666666666666
2022,Florida,9439.558333333334
2022,Georgia,4811.366666666667
2022,Idaho,827.9083333333333
2022,Illinois,6031.675
2022,Indiana,3190.0416666666665
2022,Iowa,1572.9166666666667
2022,Kansas,1416.0083333333334
2022,Kentucky,1967.725
2022,Louisiana,1929.45
2022,Maine,638.125
2022,Maryland,2732.35
2022,Massachussets,3671.5
2022,Michigan,4369.85
2022,Minnesota,2932.1
2022,Mississippi,1165.9083333333333
2022,Missouri,2920.5416666666665
2022,Montana,509.5916666666667
2022,Nebraska,1026.5583333333334
2022,Nevada,1489.6
2022,New Hampshire,685.8916666666667
2022,New Jersey,4245.516666666666
2022,New Mexico,850.4583333333334
2022,New York,9510.683333333334
2022,North Carolina,4813.116666666667
2022,North Dakota,428.18333333333334
2022,Ohio,5532.95
2022,Ohklahoma,1705.1833333333334
2022,Oregon,1947.6333333333332
2022,Pennsylvania,5986.183333333333
2022,Rhode Island,497.9166666666667
2022,South Carolina,2247.15
2022,South Dakota,452.73333333333335
2022,Tennessee,3253.3916666666664
2022,Texas,13476.583333333334
2022,Utah,1681.5083333333334
2022,Vermont,304.39166666666665
2022,Virginia,4074.8166666666666
2022,Washington,3525.3416666666667
2022,West Virginia,698.6416666666667
2022,Wisconsin,2976.8
2023,Alabama,2161.575
2023,Arizona,3198.7083333333335
2023,Arkansas,1351.4083333333333
2023,California,17821.633333333335
2023,Colorado,2937.491666666667
2023,Conneticut,1694.825
2023,Delaware,483.59166666666664
2023,District of Columbia,766.675
2023,Florida,9763.766666666666
2023,Georgia,4910.641666666666
2023,Idaho,848.8833333333333
2023,Illinois,6121.15
2023,Indiana,3240.225
2023,Iowa,1593.2333333333333
2023,Kansas,1443.525
2023,Kentucky,2016.8083333333334
2023,Louisiana,1960.4
2023,Maine,651.15
2023,Maryland,2779.266666666667
2023,Massachussets,3715.358333333333
2023,Michigan,4460.725
2023,Minnesota,2984.8
2023,Mississippi,1181.2
2023,Missouri,2967.733333333333
2023,Montana,519.55
2023,Nebraska,1048.95
2023,Nevada,1539.6416666666667
2023,New Hampshire,698.7
2023,New Jersey,4326.058333333333
2023,New Mexico,875.675
2023,New York,9711.333333333334
2023,North Carolina,4945.975
2023,North Dakota,438.4166666666667
2023,Ohio,5616.625
2023,Ohklahoma,1757.2416666666668
2023,Oregon,1986.4416666666666
2023,Pennsylvania,6086.916666666667
2023,Rhode Island,505.98333333333335
2023,South Carolina,2309.3166666666666
2023,South Dakota,461.9916666666667
2023,Tennessee,3333.616666666667
2023,Texas,13922.208333333334
2023,Utah,1721.3
2023,Vermont,310.125
2023,Virginia,4171.991666666667
2023,Washington,3595.675
2023,West Virginia,709.4916666666667
2023,Wisconsin,3021
2024,Alabama,2190.6916666666666
2024,Arizona,3238.1583333333333
2024,Arkansas,1366.2083333333333
2024,California,17952.275
2024,Colorado,2970.65
2024,Conneticut,1708.6916666666666
2024,Delaware,489.025
2024,District of Columbia,769.5666666666667
2024,Florida,9936.616666666667
2024,Georgia,4964.666666666667
2024,Idaho,864.15
2024,Illinois,6142.175
2024,Indiana,3262.1666666666665
2024,Iowa,1596.5083333333332
2024,Kansas,1455.875
2024,Kentucky,2037.7333333333333
2024,Louisiana,1982.6916666666666
2024,Maine,657.5666666666666
2024,Maryland,2832.4666666666667
2024,Massachussets,3720.775
2024,Michigan,4488.35
2024,Minnesota,3013.7916666666665
2024,Mississippi,1189.3666666666666
2024,Missouri,2988.925
2024,Montana,526
2024,Nebraska,1057.6583333333333
2024,Nevada,1569.7416666666668
2024,New Hampshire,704.7166666666667
2024,New Jersey,4368.141666666666
2024,New Mexico,888.5166666666667
2024,New York,9872
2024,North Carolina,5017.158333333334
2024,North Dakota,446.0083333333333
2024,Ohio,5650.125
2024,Ohklahoma,1778.875
2024,Oregon,1992.4916666666668
2024,Pennsylvania,6141.941666666667
2024,Rhode Island,512.0666666666666
2024,South Carolina,2355.7916666666665
2024,South Dakota,467.93333333333334
2024,Tennessee,3373.9833333333336
2024,Texas,14130.533333333333
2024,Utah,1745.2666666666667
2024,Vermont,311.7083333333333
2024,Virginia,4236.375
2024,Washington,3638.866666666667
2024,West Virginia,717.2166666666667
2024,Wisconsin,3040.1583333333333
2025,Alabama,2206.6
2025,Arizona,3252.625
2025,Arkansas,1380.825
2025,California,17995.675
2025,Colorado,2974.8
2025,Conneticut,1716
2025,Delaware,492.75
2025,District of Columbia,768.725
2025,Florida,10043.975
2025,Georgia,4974.65
2025,Idaho,877.85
2025,Illinois,6163.75
2025,Indiana,3265.45
2025,Iowa,1595.725
2025,Kansas,1457.975
2025,Kentucky,2047.9
2025,Louisiana,1997.325
2025,Maine,658.45
2025,Maryland,2846.875
2025,Massachussets,3718.775
2025,Michigan,4516.175
2025,Minnesota,3044.625
2025,Mississippi,1199.575
2025,Missouri,2992.4
2025,Montana,525.95
2025,Nebraska,1060.7
2025,Nevada,1575.775
2025,New Hampshire,710.075
2025,New Jersey,4392.775
2025,New Mexico,899.125
2025,New York,9963.425
2025,North Carolina,5071.425
2025,North Dakota,449
2025,Ohio,5686.925
2025,Ohklahoma,1797.725
2025,Oregon,2007.8
2025,Pennsylvania,6206.925
2025,Rhode Island,515.325
2025,South Carolina,2396.575
2025,South Dakota,472.35
2025,Tennessee,3384.825
2025,Texas,14273.175
2025,Utah,1773.6
2025,Vermont,313.475
2025,Virginia,4269.375
2025,Washington,3665
2025,West Virginia,715.875
2025,Wisconsin,3051
